player,bat_win_prob,bat_last_season,bowl_win_prob,bowl_last_season,is_batter,is_bowler,is_allrounder,combined_score,role,matches_batted,matches_bowled,bowling_type,nationality,is_wk,first_season,age_decay_factor,adjusted_score,is_overseas
RR Rossouw,0.8739466,2024.0,,,1,0,0,0.8739466,BAT,17.0,0.0,BAT,South African,0,2023.0,1.0,0.8739466071128845,1
B Sai Sudharsan,0.86868215,2025.0,,,1,0,0,0.86868215,BAT,40.0,0.0,BAT,Indian,0,2022.0,1.0,0.8686821460723877,0
J Little,,,0.8429802,2024.0,0,1,0,0.8429802,BOWL,0.0,11.0,PACE,Irish,0,2020.0,1.0,0.8429802060127258,1
H Klaasen,0.78461957,2025.0,,,1,0,0,0.78461957,WK,45.0,0.0,WK,South African,1,2018.0,0.95,0.7453885912895202,1
JM Sharma,0.68845224,2025.0,,,1,0,0,0.68845224,BAT,47.0,0.0,PACE,Indian,0,2022.0,1.0,0.6884522438049316,0
Dhruv Jurel,0.66005963,2025.0,,,1,0,0,0.66005963,WK,35.0,0.0,WK,Indian,1,2023.0,1.0,0.6600596308708191,0
SS Iyer,0.75169563,2025.0,0.30342388,2022.0,1,1,1,0.52755976,BAT,117.0,1.0,BAT,Indian,0,2016.0,0.95,0.5011817693710326,0
MR Marsh,0.66582614,2025.0,0.34207207,2024.0,1,1,1,0.5039491,AR,36.0,19.0,AR,Australian,0,2016.0,0.95,0.4787516504526138,1
Akash Singh,,,0.47692677,2025.0,0,1,0,0.47692677,BOWL,0.0,10.0,PACE,Indian,0,2020.0,1.0,0.4769267737865448,0
JD Unadkat,0.0007471951,2024.0,0.9234514,2025.0,1,1,1,0.4620993,AR,23.0,78.0,PACE,Indian,0,2017.0,0.95,0.4389943480491638,0
R Ashwin,0.31391212,2025.0,0.47705773,2025.0,1,1,1,0.39548492,AR,63.0,123.0,SPIN,Indian,0,2016.0,0.95,0.3757106781005859,0
