player,bat_win_prob,bat_last_season,bowl_win_prob,bowl_last_season,is_batter,is_bowler,is_allrounder,combined_score,role,matches_batted,matches_bowled,bowling_type,nationality,is_wk,first_season,age_decay_factor,adjusted_score,is_overseas
MR Marsh,0.66582614,2025.0,0.34207207,2024.0,1,1,1,0.5039491,AR,36.0,19.0,AR,Australian,0,2016.0,0.95,0.4787516504526138,1
C Green,0.31154722,2024.0,0.59094536,2024.0,1,1,1,0.4512463,AR,28.0,29.0,AR,Australian,0,2023.0,1.0,0.4512462913990021,1
JD Unadkat,0.0007471951,2024.0,0.9234514,2025.0,1,1,1,0.4620993,AR,23.0,78.0,PACE,Indian,0,2017.0,0.95,0.4389943480491638,0
KH Pandya,0.0036368677,2025.0,0.8156569,2025.0,1,1,1,0.4096469,AR,114.0,132.0,AR,Indian,0,2016.0,0.95,0.38916455358266827,0
R Ashwin,0.31391212,2025.0,0.47705773,2025.0,1,1,1,0.39548492,AR,63.0,123.0,SPIN,Indian,0,2016.0,0.95,0.3757106781005859,0
Kuldeep Yadav,0.00035498248,2025.0,0.76126146,2025.0,1,1,1,0.38080823,AR,37.0,96.0,SPIN,Indian,0,2017.0,0.95,0.36176782250404355,0
AR Patel,0.73395616,2025.0,0.021792645,2025.0,1,1,1,0.3778744,AR,104.0,129.0,AR,Indian,0,2016.0,0.95,0.35898068398237226,0
S Dube,0.69212985,2025.0,0.02178708,2025.0,1,1,1,0.35695848,AR,75.0,15.0,AR,Indian,0,2019.0,0.95,0.339110554754734,0
Abhishek Sharma,0.59700924,2025.0,0.0229741,2025.0,1,1,1,0.30999166,AR,74.0,32.0,BAT,Indian,0,2018.0,0.95,0.29449207484722134,0
RR Rossouw,0.8739466,2024.0,,,1,0,0,0.8739466,BAT,17.0,0.0,BAT,South African,0,2023.0,1.0,0.8739466071128845,1
B Sai Sudharsan,0.86868215,2025.0,,,1,0,0,0.86868215,BAT,40.0,0.0,BAT,Indian,0,2022.0,1.0,0.8686821460723877,0
JM Sharma,0.68845224,2025.0,,,1,0,0,0.68845224,BAT,47.0,0.0,PACE,Indian,0,2022.0,1.0,0.6884522438049316,0
JJ Roy,0.6051273,2023.0,,,1,0,0,0.6051273,BAT,21.0,0.0,BAT,English,0,2017.0,0.95,0.5748709112405777,1
SS Iyer,0.75169563,2025.0,0.30342388,2022.0,1,1,1,0.52755976,BAT,117.0,1.0,BAT,Indian,0,2016.0,0.95,0.5011817693710326,0
F du Plessis,0.49633574,2025.0,,,1,0,0,0.49633574,BAT,108.0,0.0,BAT,South African,0,2016.0,0.95,0.47151895761489865,1
PP Shaw,0.4664981,2024.0,,,1,0,0,0.4664981,BAT,79.0,0.0,BAT,Indian,0,2018.0,0.95,0.44317320138216015,0
YBK Jaiswal,0.6665885,2025.0,0.019423688,2022.0,1,1,1,0.34300607,BAT,66.0,1.0,BAT,Indian,0,2020.0,1.0,0.34300607442855835,0
J Little,,,0.8429802,2024.0,0,1,0,0.8429802,BOWL,0.0,11.0,PACE,Irish,0,2020.0,1.0,0.8429802060127258,1
Akash Singh,,,0.47692677,2025.0,0,1,0,0.47692677,BOWL,0.0,10.0,PACE,Indian,0,2020.0,1.0,0.4769267737865448,0
M Pathirana,,,0.4420955,2025.0,0,1,0,0.4420955,BOWL,0.0,32.0,PACE,Sri Lankan,0,2020.0,1.0,0.44209548830986023,1
Yash Dayal,0.0037870873,2025.0,0.5987447,2025.0,1,1,1,0.3012659,BOWL,4.0,43.0,PACE,Indian,0,2022.0,1.0,0.3012658953666687,0
H Klaasen,0.78461957,2025.0,,,1,0,0,0.78461957,WK,45.0,0.0,WK,South African,1,2018.0,0.95,0.7453885912895202,1
Dhruv Jurel,0.66005963,2025.0,,,1,0,0,0.66005963,WK,35.0,0.0,WK,Indian,1,2023.0,1.0,0.6600596308708191,0
RR Pant,0.60444635,2025.0,,,1,0,0,0.60444635,WK,123.0,0.0,WK,Indian,1,2016.0,0.95,0.5742240339517594,0
SV Samson,0.52782255,2025.0,,,1,0,0,0.52782255,WK,137.0,0.0,WK,Indian,1,2016.0,0.95,0.5014314264059067,0
